Pozo;Ubicación/Calle/Dirección;Asignación;Dias y Hora Servicio
POZO_ZONA NORTE_ZN_26;Enamur en Almiranta G. Brown & San Lorenzo, La Lucila, Vicente López;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_36;Hipólito Yrigoyen 6690 - San Fernando.;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_ZONA NORTE_ZN_37 - BAJA ;Leonismo Argentino 5900 esq. Hipólito Yrigoyen - San Fernando.;Movil 17 Pilar - 113512-9623;Todos los dias 24 hs
POZO_PILAR_PI064;Andres esq. Av. Patricias Aregentinas – Garin - Escobar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_G. CATAN_MN002;Armonía y E. de la Fuente;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_MN004;RP 1001 Roberto Billinghurst y Apipé;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_MN005;RP 1001 Roberto Billinghurst y Cespedes;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_MN009;RP 1001 Roberto Billinghurst y Río Cuarto;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_MN011;Cespedes al 2100 a 500mts RP 1001 Roberto Billinghurst;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_MN001;Juan Lavalleja y Cespedes;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_MN003;Armonia 1619, González Catán;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO198;Enrique Clay 2650 (entre M. Doello y Pedro Díaz Colodrero) ;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_043_(GALPON);Estanilaos del campo y Luján. Gregorio de Laferrere;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_147_(GALPON);Francisco Beazley e./ Maximo Zamudio y Estanislao de Campo - Gonzalez Catán;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO101;Leopardi 5999;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO143;Domingo Scarlatti, B° Los Ceibos Sur M17000;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO197;Domnigo Scarlatti 6600;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO146;ee048;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO054;Luciano Torrent600;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO112;Domingo Scarlatti 4900;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO139;Caxaraville, B° San Enrique900;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO195;Equiza 4799;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO179;Conde5305;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO180;Machain 410;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO177;Barrientos 4299;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO193;Gana Juan Pio 5040;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO189;Leones 87;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO187;Puerto Argentino 4105;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO164;Croacia4400;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO046;Fortín Yunca esq. Guanabara - Virrey del Pino - La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO047;Huillapima esq. Brig. Gral. Juan M. de Rosas - Virrey del Pino - La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO053;Haiti 5454;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_G. CATAN_LMO085;R. Martinez esq. Av. Juan Bautista Lasalle;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO083;Durero, B° Lasalle M2900;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO098;Enrique Clay 2879;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO109;Gamay 849;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO140;Martinez Castro, B° Lasalle M04251;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO076;Lujan, B° El Talita M17200;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO075;Coronel Conde 3000;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_G. CATAN_LMO056;Guanacache 9398 (entre Manuel Guillermo Pinto y Antonio Pillado) - Virrey del Pino - La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO308;Areco y Pedro Antonio Ballerini;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO309;Areco y California;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO327;Areco y Esperanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO352;Paraná y Navarro.;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO340;Areco entre San Antonio y San Juan, La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO328;Areco N° 9900 e/ Portela y Plaza Hilario, La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO318;Esperanza entre Esparza y N. Huapi, La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO332;Federico Loefler e/N. Huapi y Francisco Nuñez, La Matanza;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO094;Amadeo Vives 700 y Guanabara;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO329;Areco 10.000 e/ Portelay Loefler;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO336;Pedro de Angelis y Esteban de Fernández, Virrey de Pino ;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO302;Antonio Sáenz a 1500mts de Urien;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO301;Antonio Sáenz a 2000mts de Urien;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO310;Chivilcoy y Pedro Antonio Ballerini;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO366;Santiago de Estrada y Masotti;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO375;Santiago de Estrada y Ferrari;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO339;Areco 11300 AV. Antonio San Juan;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO307;Curamalal y José M. Vilela;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO343;San Juan 4200 a 1400 mts de Areco;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO311;Chivilcoy y California;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO360;California 7631 e/ Libres y Solom, Virrey del Pino;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO305;Urien 400 – Virrey del Pino;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO317;Areco y José D. Avalos;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO320;Esperanza y Cañada de Gomez;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO312;Urien al 5600 a 600 mts del Pozo 160;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO333;P. Angelis a 1300mts de Nahuel Huapi;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO337;P. Angeliz e/ Diego de Villarroel y Areco;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO330;Federico Loefler a 700mts de Areco;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO334;Pedro de Angeliz y Nuñez a 2500mts del Pozo 338;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO342;San Juan 3510 entre Areco y Paraná.;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO367;Colastine y Bernardino Escribano;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO345;Av. Antonio San Juan 2800mts de Areco;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO348;Paraná y callejón s/n a 300 mts de Paraná y P. Murillo;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO368;Juan Arengren y Colastine;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO315;Areco y Anastasio Girardot;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO370;Gorostiaga y Colastine;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO303;Antonio Sáenz a 700mts de Urien;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO377;Coronel Warnes 7199;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO379;Cañuelas y Comercio;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO314;Areco 5817;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO358;Urien 4400 y Villarroel;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO381;Cañada de Gómez 6698;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO378;Cañuelas 3104;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO304;Saenz 9300       ;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO095;Mantegazza, B° Parque Sarmiento6100;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO957;Guamini 12710;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO125;Corrales 1100;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO096;Maximo Herrera 6400 (B° El Tizon);Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO374;El Calden 5700;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO376;El Naranjo 7800;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO049;B. Escribano, B° El Pino450;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO373;Manzana 148 - Barrio San Javier;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO372;Bragado 1290;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO369;Jose Arismendi 5499;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_V. DEL PINO_LMO099;Wast Hugo, B° Mi Esperanza M3371;Movil 19 Virrey del Pino - 115005-4128;Todos los dias 24 hs
POZO_LLAVALLOL_LO106;Juan B. Justo 1000;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO072;Timbo 1;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO095;Juan Larrea 1901;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO134;Coihue 400;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_GUILLON_LO067;De la Peña 527;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_GUILLON_LO042;Santa Lucia 1;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO113 ;Leloir 400 - Lomas de Zamora;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO128;Av. Crabed 399 - Lomas de Zamora;Movil 11 Berazategui - 112189-6034;Todos los dias 24 hs
POZO_LLAVALLOL_LO117 ;Silvana 499 - Lomas de Zamora;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO025;Monseñor Paiggio 710 - Lomas de Zamora;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_GLEW_AB061;Laprida y Viner, altura calle 25 de Mayo al 1700- Ministro Rivadavia.;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB064;Juan B. Justo al 1000, a 100 mts del Pozo Escuadrón de Caballeria de Longchamps.;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB100;Gral. Cardenas y Almte. Irizar (Plaza) ;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB088;Calderón a 700mts de Romero.;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB102;25 de Mayo y Martiniano Leguizamón_ Almirante Brown;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB108;Rufino Córdoba esq. Cesar Ratti, Burzaco;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB106;Pablo Podestá 790, Burzaco;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB063;2741 Francisco Narciso de Laprida, Ministro Rivadavia, Provincia de Buenos Aires;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB110;Boulogne Sur Mer & Antonio Luis Beruti ;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB091;Gral. Brig. Manuel Calderón y Lezica;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB107;Juan Sarcione esq. Fernando Ochoa, Alte. Brown;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB075;Juan B. Justo al 2800.;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB065;Juan B. Justo al 1400.;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB099;Fernando  Lahille y M. Acosta.;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB098;Rocha y J: A.  Casacuberta;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB109;Luis Viale y Enrique de Rosas – Almirante Brown;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB066;Juan B Justo 2101;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB074;Republica Argentina 3700;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB076;Republica Argentina 7000;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB084;Intersección calle Espoile y Av. Espora;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB068;Av. Zeballos 400;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB070;Motti de Muesca 890;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB086;Romero y Brigadier Manuel Calderón;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB085;Leyes 900;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB087;Calderon 1251;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB092;Calderón 3800;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB090;Calderon 3400;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB093;Calderón 4100;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB095;Lemos 3800;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB073;Republica Argentina 6670 - Esteban Echeverria;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_GLEW_AB094;Romero Adolfo 3800 - Almirante Brown ;Movil 3 Glew - 114870-4239;Todos los dias 24 hs
POZO_CANNING_EE055;José Hernández e/ Dolores y Carmen de Areco;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE052;Martín Fierro a 700 mts. de Dolores ;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU015;Calle 9 de Julio y Av. Maipú;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU016;Av. Maipú a 40 mts. R.P. 58;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU025;Sgto. Cabral a 3.000 mts .de R.P.16;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU017;Ramos Mejía esq. R.P. 58;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE063;Alvarez de Toledo 4621;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE061;Costa Rica 1873;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE066;San Pedrito y Amado Nervo - Esteban Echeverría;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU018;Andrómaco  e./ R.P. 58 y Champagñat;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE065;P. Arocena y E. de Laperriere. Partido de Esteban Echeverría.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE064;Pablo Pizzurno esq. Puán y San Pedrito – Monte Grande – Esteban Echeverría ;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU012;Juana de Areco a 2200 mts. de R.P. 58;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU013;Juana de Areco a 2000 mts. de R.P. 58;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE062;Los Ceibos y Fraga;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU005;Sargento Cabral a 200 mts. de Lacarra;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU006;Sargento Cabral a 700 mts. del Pozo 5;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU007;Sargento Cabral a 300 mts. de Escribano Francisco Vazquez;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU008;Sargento Cabral y Gral. Antonio Gonzalez;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE047;Martín Fierro e/ Camino Country Circulo y Juana de Areco;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE048;Martín Fierro y Camino Country Circulo;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE049;Martín Fierro y Escribano Francisco Vazquez;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE050;Escribano Frasncisco Vázquez e/ Camino Country Circulo y Cuba;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU021;Sargento Cabral 6799;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU001;Maipu 800;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU002;San Bernardo 980 - B° La Unión;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EE054;Martin Fierro 1600;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU019;Montes de Oca y Ruta Prov. N° 58;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EEU011;Sgto. Cabral a 700 m de EEU010;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_CANNING_EET001;Las Dalias y Falucho - Tristán Suarez;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ014;Paso de los Libres 1500;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ023;RP N° 52 1300;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ029;Valle del Rio Negro y America del Norte, Ezeiza;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ027;25 de Mayo y Cañada de Gomez, Ezeiza;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ031;Roger Balet y Sargento Cabral, Ezeiza ;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEU023;Calle Los Robles a 600 metros del Pozo 14;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ019;Ruta Provincial N°52 4000;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ030;R. Balet y Sarmiento, partido de Ezeiza.;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ028;Av. Quito y Arroyo, partido de Ezeiza.;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEU020;Calle Hipólito Vieytes y R.P. 52;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ006;Caminito 1200;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ015;Paso de los Libres 1700;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ011;Paso de los Libres 10;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EES001;25 de Mayo al 2400 a 200 mts. de Falucho;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEU003;Los Robles al 5700 e/ Vieytes y Galeano;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEU004;Los Robles e/ Carlos Chagas y José Champagnat;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEU014;Los Robles esq. R.P. 52;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ013;Paso de los Libres 1400;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ010;Paso de los Libres 1800;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ021;RP N° 52 1200;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ020;RP N° 52 1000;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ022;RP N° 52;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ024;Ruta N°52 kilómetro 2;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEU022;Juana de Arco S/N;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_CANNING_EEZ016;Guillermo Gaddini 1550 - Ezeiza;Movil 5 Canning - 112028-5249;Todos los dias 24 hs
POZO_GUILLON_EEN016;Tierra del Fuego y Constanzo;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN035;Casacuberta E/Valette y Gonzalez;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN038;Lago Garcia y Cepeda;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN043;Avellaneda E/ Trangoni y C. Monte Grande;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN034;Alberto Grande 10 a 38 mts de las vías FFCC;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN040;Lago Garcia a 50 mts de Av. Valette;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN046;Tte. Bourquet E/ Gabaston y Ameghino;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN045;Bruzzone y Tte. Alberto Grande;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN033;Urbano Gonzalez a 44 mts de vias del FC;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN041;9 de Abril a 20 metros de Vallete;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN039;Cepeda y Alberto Grande;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN048;Roberson E/ J. Newbery y Matienzo;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN044;Bruzzone E/ Foz y Gonzalez;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN037;Cepeda y de los Constituyentes;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEZ001;Rio Bermejo 301 - La Celia;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN042;Las Talitas 250;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN047;J. M. de Rosas 249;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN028;Rivero, B° 1990 Viviendas495;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN036;Lima 1835;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN027;Garcia Fernandez B° 1990;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN012;M. Alegre2000;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
POZO_GUILLON_EEN007;Sarmiento 2700;Movil 6 Luis Guillon - 113559-5887;Todos los dias 24 hs
