Pozo;Ubicación/Calle/Dirección;Asignación;Dias y Hora Servicio
POZO_P. PERON_GU011 - BAJA;Alfonso Amat 4598 - Lomas de Zamora;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_P. PERON_GU010;Enrique Santos Discépolo 4198, ent/ Eduardo Gutiérrez y Violeta Antier - Presidente Perón;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE043;Juana de Arco 300 - Esteban Echeverria;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_F. VARELA_FV094;Calle 1364 al 3465;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV068;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV069;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV093;Calle 1681 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV067;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV038;Calle 1423 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV116;Calle 1323 1590;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV036;Calle 1422 y Eva Perón;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV164;C.1155 esq. C.1138, INGENIERO_JUAN_ALLAN;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV127;C. 1151 casi esq. C.1130;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV166;calle 1440 y 1455 - Florencio Varela;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV088;Calle 1327 s/n;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV089;Calle 1356 1700;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
