Motivo;Sitio;Asignación;Dias y Hora Servicio
ALARMA;299 Estación de Bombeo Cloacal Adrogue Sur 1 - Roca al 1100 entre 9 de Julio y José de San Martín - Burzaco - Almirante Brown;Movil 3 Glew - 114870-4239;Todos los dias - 24 hs
ALARMA;"300 Planta de Osmosis Inversa ""Barrio Procrear Merlo"" - Olaya entre Güiraldes y Segundo Sombra - Merlo";Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
RECORRIDO;301 Predio Escobar - Florencio Parravicini 1900 -  Escobar;Movil 13 Tigre - 112294-6632;Todos los dias - 24 hs
ALARMA;303 Planta de Adsorción Moreno - Manuel Obarrio 1045 esq. El Tiziano - Moreno             ;Movil 14 Moreno - 113665-1848;Todos los dias - 24 hs
ALARMA;305 Estación de Bombeo Cloaclal Barrufaldí - Pampa y Victorino de Plaza - Bella Vista - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
RECORRIDO;306 – Servidumbre de Cloacas Máximas (Berazategui) - Calle 164 N° 1250 e/ Calle 12 A y Calle 12 B - Berazategui;Móvil 22 – Bernal - 1120314941;Todos los dias - 24 hs
ALARMA;319 Estación de Rebombeo Rafael Castillo - Fardman y C. Esteban Echeverria - La Ferrere;Movil 18 Glez Catan - 115005-4118;Todos los dias - 24 hs
ALARMA;320 Predio Arroyo Las Torres - Av. Bicentenario 600 esq. Riobamba - Merlo;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
ALARMA;322 Planta Depuradora Jose C. Paz Centro - Av. Hector Arregui y Cap. Martínez (Polideportivo Jose C. Paz);Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
RECORRIDO;324 Vivienda Laprida  Laprida 676 - Avellaneda;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
RECORRIDO;327 Predio Gral. Pacheco (Ex Nueva Región Norte) - Av. De los Constituyentes 1690 - Talar de Pacheco - Tigre;Movil 13 Tigre - 112294-6632;Todos los dias - 24 hs
RECORRIDO;328 Ventileta N° 16 (Ex Vivienda Lavalle) - Lavalle 4 – Quilmes;Móvil 22 – Bernal - 1120314941;Todos los dias - 24 hs
RECORRIDO;329 Predio Virrey Olaguer y Feliu -Virrey Olaguer y Feliu 2157 - Olivos;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
RECORRIDO;331 Planta Depuradora Russo - Romain Rolland (S/N) e/ Pedro Medrano y Perito Moreno - Los Polvorines;Movil 16 San Miguel - 112027-5726;Todos los dias - 24 hs
ALARMA;362 Estación de Bombeo Cloacal ZS_01 ISLA MACIEL - Gral. Zapiola 1475 - Dock Sud - Avellaneda;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;363 Estación de Bombeo Cloacal ZS_03 Dock Sud - Laprida 676 - Dock Sud - Avellaneda;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;364 Estación de Bombeo Cloacal ZS_07 Argañaraz - Coronel Suarez 698 y Argañaraz - Dock Sud - Avellaneda;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;365 Estación de Bombeo Cloacal ZS_08 Roca - Av. Roca 2280 - Dock Sud - Avellaneda;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;366 Estación de Bombeo Cloacal ZC_22_ PUERTO I - Macacha Guemes 151 - CABA;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;367 Estación de Bombeo Cloacal ZS_36 LAS FLORES - Pino 6230 e/ Las Flores - Wilde - Avellaneda;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;368 Estación de Bombeo Cloacal ZS_15 DON BOSCO NORTE - Aguirre al 700 y Calle 263 - Bernal - Quilmes;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;369 Estación de Bombeo Cloacal ZS_16 DON BOSCO SUR - Av. Caseros 1922 e/ Timoteo Gordillo - Bernal - Quilmes;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;370 Estación de Bombeo Cloacal ZS_11 TRES SARGENTOS - Crisólogo Larralde y Tres Sargentos - Gerli - Avellaneda;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;371 Estación de Bombeo Cloacal ZS_33 DEFENSA - Defensa 1602 e/ Facundo Quiroga - Dock Sud - Avellaneda;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;372 Estación de Bombeo Cloacal ZS_23 VILLA ALCIRA - Tacuari 998 e/ Lago Lacar - Bernal - Quilmes;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;373 Estación de Bombeo Cloacal ZS_24 VILLA CRAMER - Av. Caseros 1434 y Tacuari - Bernal - Quilmes;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;374 Estación de Bombeo Cloacal ZS_28 FALUCHO ESTE - Bermejo 1269 e/ Victorica - Bernal - Quilmes;Movil 11 Berazategui - 112189-6034;Todos los dias - 24 hs
ALARMA;375 Estación de Bombeo Cloacal ZS_ 34 SANTO DOMINGO - Gral. Madariaga 2246 e/ Caxaraville - Sarandi - Avellaneda;Móvil 12 Quilmes - 1154169804;Todos los dias - 24 hs
ALARMA;376 Estación de Bombeo Cloacal ZC_23 _ PUERTO II - Azucena Villaflor 307 - CABA;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;377 Estación de Bombeo Cloacal ZC_24_ PUERTO III - Rosario Verapeñaloza 228 - CABA;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;378 Estación de Bombeo Cloacal ZC_21 _ PLANETARIO - Av Belisario Roldan - CABA;Movil 2 Caba - 113735-4716;Todos los dias - 24 hs
ALARMA;379 Estación de Bombeo Cloacal ZC_45 _ VILLA BALLESTER - Reconquista 4040 -Villa Ballester - San Martin;Movil 17 Pilar - 113512-9623;Todos los dias - 24 hs
ALARMA;380 Estación de Bombeo Cloacal ZG_10 _ EBC COCA COLA - Los Camalotes 396 e/ Cabo San Jose - El Jaguel - Esteban Echeverria;Movil 6 Luis Guillon - 113559-5887;Todos los dias - 24 hs
ALARMA;381 Estación de Bombeo Cloacal ZG_27 _ EBC 5 ESQUINAS - km. 40 de la autopista Ezeiza Canuelas - Tristan Suarez - Ezeiza;Movil 5 Canning - 112028-5249;Todos los dias - 24 hs
ALARMA;382 Estación de Bombeo Cloacal ZF_05 _MORON - Gral Juan Jose de Valle y RP N° 7 - Morón;Movil 15 Moron - 116381-1091;Todos los dias - 24 hs
